1000 1000 1e-06
1000 1000 1e-05
1000 1000 1e-04
1000 1000 0.001
1000 1000 0.01
1000 1000 0.05
1000 1000 0.1
5000 5000 1e-06
5000 5000 1e-05
5000 5000 1e-04
5000 5000 0.001
5000 5000 0.01
5000 5000 0.05
5000 5000 0.1
9000 9000 1e-06
9000 9000 1e-05
9000 9000 1e-04
9000 9000 0.001
9000 9000 0.01
9000 9000 0.05
9000 9000 0.1
9900 9900 1e-06
9900 9900 1e-05
9900 9900 1e-04
9900 9900 0.001
9900 9900 0.01
9900 9900 0.05
9900 9900 0.1
3001 7000 1e-06
3001 7000 1e-05
3001 7000 1e-04
3001 7000 0.001
3001 7000 0.01
3001 7000 0.05
3001 7000 0.1
5001 10000 1e-06
5001 10000 1e-05
5001 10000 1e-04
5001 10000 0.001
5001 10000 0.01
5001 10000 0.05
5001 10000 0.1
