15000 10000 5000 0.01
15000 10000 5000 0.05
15000 5000 10000 0.01
15000 5000 10000 0.05
10000 15000 5000 0.01
10000 15000 5000 0.05
10000 10000 10000 0.01
10000 10000 10000 0.05
10000 5000 15000 0.01
10000 5000 15000 0.05
5000 15000 10000 0.01
5000 15000 10000 0.05
5000 10000 15000 0.01
5000 10000 15000 0.05
5000 5000 20000 0.01
5000 5000 20000 0.05
15000 10000 10000 0.01
15000 10000 10000 0.05
5000 10000 10000 0.01
5000 10000 10000 0.05
10000 15000 10000 0.01
10000 15000 10000 0.05
10000 5000 10000 0.01
10000 5000 10000 0.05
10000 10000 15000 0.01
10000 10000 15000 0.05
10000 10000 5000 0.01
10000 10000 5000 0.05
