0 0 0.5 1e-07
0 0 0.5 1e-08
0 0 0.5 1e-09
0.01 0 0.1 1e-07
0.01 0.01 0.1 1e-07
0.05 0 0.1 1e-07
0.05 0.05 0.1 1e-07
0.1 0 0.1 1e-07
0.1 0.1 0.1 1e-07
0.01 0 0.1 1e-08
0.01 0.01 0.1 1e-08
0.05 0 0.1 1e-08
0.05 0.05 0.1 1e-08
0.1 0 0.1 1e-08
0.1 0.1 0.1 1e-08
0.01 0 0.1 1e-09
0.01 0.01 0.1 1e-09
0.05 0 0.1 1e-09
0.05 0.05 0.1 1e-09
0.1 0 0.1 1e-09
0.1 0.1 0.1 1e-09
0.01 0 0.5 1e-07
0.01 0.01 0.5 1e-07
0.05 0 0.5 1e-07
0.05 0.05 0.5 1e-07
0.1 0 0.5 1e-07
0.1 0.1 0.5 1e-07
0.01 0 0.5 1e-08
0.01 0.01 0.5 1e-08
0.05 0 0.5 1e-08
0.05 0.05 0.5 1e-08
0.1 0 0.5 1e-08
0.1 0.1 0.5 1e-08
0.01 0 0.5 1e-09
0.01 0.01 0.5 1e-09
0.05 0 0.5 1e-09
0.05 0.05 0.5 1e-09
0.1 0 0.5 1e-09
0.1 0.1 0.5 1e-09
0.01 0 0.9 1e-07
0.01 0.01 0.9 1e-07
0.05 0 0.9 1e-07
0.05 0.05 0.9 1e-07
0.1 0 0.9 1e-07
0.1 0.1 0.9 1e-07
0.01 0 0.9 1e-08
0.01 0.01 0.9 1e-08
0.05 0 0.9 1e-08
0.05 0.05 0.9 1e-08
0.1 0 0.9 1e-08
0.1 0.1 0.9 1e-08
0.01 0 0.9 1e-09
0.01 0.01 0.9 1e-09
0.05 0 0.9 1e-09
0.05 0.05 0.9 1e-09
0.1 0 0.9 1e-09
0.1 0.1 0.9 1e-09
