1e+06 1e+05 1e+05 1e+05 100 0.005 1e-09 1e-09
1e+06 1e+05 1e+05 1e+05 50 0.005 1e-09 1e-09
1e+06 1e+05 1e+05 1e+05 10 0.005 1e-09 1e-09
1e+05 10000 10000 10000 100 0.05 1e-08 1e-08
1e+05 10000 10000 10000 50 0.05 1e-08 1e-08
1e+05 10000 10000 10000 10 0.05 1e-08 1e-08
10000 1000 1000 1000 100 0.5 1e-07 1e-07
10000 1000 1000 1000 50 0.5 1e-07 1e-07
10000 1000 1000 1000 10 0.5 1e-07 1e-07
1e+05 10000 10000 5000 100 0.05 1e-08 1e-08
1e+05 10000 10000 5000 50 0.05 1e-08 1e-08
1e+05 10000 10000 5000 10 0.05 1e-08 1e-08
1e+05 10000 5000 10000 100 0.05 1e-08 1e-08
1e+05 10000 5000 10000 50 0.05 1e-08 1e-08
1e+05 10000 5000 10000 10 0.05 1e-08 1e-08
